time_s,target,O01,O02,O03,O04,O05,O06,O07,O08,O09,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20,O21,O22,O23,O24,O25,O26,O27,O28
66,90.90381337348259,86.95822118271693,97.46123720833778,81.72070779037848,100.0,89.34076504394918,85.51914609193236,96.5981432184819,90.72455857514029,90.47476744375983,79.36242762123,100.0,100.0,77.62645735840547,71.69929950715903,84.51805120426141,100.0,100.0,80.78835573309252,56.265892247656524,77.37105759115025,96.47974173853294,83.34739407425238,74.65139506594508,74.40282246555591,92.15526561968957,86.80758224582652,82.06018900252025,89.93359906142607
67,94.03376293735613,87.31775669167075,100.0,84.83329409572832,100.0,88.24541981518229,86.1909427153551,96.18251351534514,90.94875831858985,92.99564240483187,75.96347353754801,99.9588927239451,100.0,75.42748760710066,73.09494313729937,88.64448587269854,100.0,100.0,88.4007677542069,54.018624433846114,78.75821020509515,99.21422223534245,83.9651993510339,77.56354843389636,76.4869280480009,89.65999725055575,82.0463644008959,83.52181395019154,96.47229086970617
68,97.00447850274385,87.5697937255983,100.0,87.33346186933579,100.0,85.32262968497454,88.91386818556387,95.2112668609692,92.45886707616808,96.48921296937641,75.05606472472113,100.0,100.0,76.4235762113056,72.49849710947083,96.68061485692587,100.0,100.0,93.75609480598075,57.614920725020795,80.38488924281324,100.0,82.51348659429641,82.8280991000804,81.86494921806953,91.94798603975286,74.63200367202333,84.76006763431721,100.0
69,99.14803045029218,88.70850366408663,100.0,88.52830067174777,100.0,84.52382154894389,94.04637133426436,96.12130186944881,97.43477515122242,98.8379647595385,79.25664555493361,100.0,100.0,81.82054237344215,70.83604744274405,100.0,100.0,100.0,91.4363387168802,60.31502638508669,80.31003149149022,100.0,78.63361877714252,76.97776073012491,83.39334186427106,94.77181032086034,70.60633895459291,83.85458233112485,100.0
70,100.0,90.28138156026462,100.0,91.040388131604,100.0,87.99997700312889,98.24252971317458,99.1110291355588,100.0,99.02610440284349,86.94327938986342,100.0,100.0,89.38941384136984,71.54659664617428,100.0,97.54676655213427,100.0,88.8926803804434,61.148258912149544,78.43391166486012,98.66614469622463,74.79980875820438,66.47035725825589,79.82577519682422,97.24466619616629,74.8530095546257,77.30302915836569,100.0
71,99.41019645916114,90.78306381146237,100.0,96.13925868807118,100.0,90.95106930835803,97.23950203106588,100.0,100.0,99.5925936200432,94.36790403022104,100.0,100.0,95.11059637637491,74.91581860954722,100.0,96.71510899758249,100.0,92.21848857146746,64.53973588559384,79.04711530808996,95.4322541342642,76.40571649080871,62.28250128746079,77.48531000019042,100.0,82.96597108614145,71.39167644495845,100.0
72,97.54390319418106,88.9758161330444,100.0,100.0,100.0,87.6869754898747,92.91187061724128,100.0,100.0,100.0,97.28368590615722,100.0,100.0,97.4849600243441,79.33571199876745,100.0,99.89986643382586,100.0,92.35727479928185,69.95460625262376,84.5985833323631,94.4619707807598,83.21770360190177,66.59539195368878,80.6571216164264,100.0,90.02328695489258,73.63185412303382,99.203618322739
73,94.79352444791505,86.30807157220408,100.0,99.72598907559727,100.0,84.08452663574347,90.0571709249923,100.0,95.41620389824894,100.0,95.22001524124572,100.0,100.0,96.24848714066988,83.26915946535497,100.0,100.0,100.0,85.28693505283243,74.61458181535713,87.46780922626489,95.86199381112472,92.66503677168075,77.21715874894015,86.69190009187909,100.0,92.72730989228468,80.39945763969483,99.24320643966189
74,91.63962556628407,86.27319146375754,100.0,93.8762956509986,100.0,86.74564245494346,90.24692181237452,100.0,95.42625449186971,100.0,90.48515731003681,100.0,100.0,92.79873570579684,85.44653442181853,100.0,100.0,100.0,81.29833506317928,78.14863344795705,82.7574062639984,99.21915058172085,100.0,83.94154625378067,92.59886264492998,100.0,89.4677081765775,85.55461505769728,100.0
75,88.49313819404915,86.3782147287373,100.0,88.70494342084497,100.0,88.44616836146987,89.06061782589174,100.0,97.89556678674657,99.13025996496091,85.70101830209316,100.0,100.0,87.69246518978565,85.71702559176143,96.5077185029011,100.0,100.0,82.81735689707028,81.97327917394514,77.56385469997636,99.82990510984781,100.0,82.90909213484986,95.36893222858461,100.0,86.5842731178654,90.38367836710432,97.96492127755786
76,85.56327483200754,82.46780879711812,100.0,85.90983284670494,100.0,84.530341590994,83.74733146894064,100.0,99.19778140873888,96.38263520775956,83.42295294930184,100.0,100.0,82.9872671249716,84.29994584719833,91.79286331657595,100.0,100.0,83.46859476332862,84.42151038058697,77.51265199713649,96.44873729484033,99.33489174499414,80.65275648800858,94.38369625404862,100.0,88.9763944538966,94.33610580187505,87.01786876529633
77,82.80121941716845,77.29354513130971,100.0,83.2185629593443,100.0,79.21401354681554,80.03020439081763,98.25520760095216,97.46032109422839,92.42009279988731,83.9781198078762,99.21699738981958,100.0,82.46071714938131,81.5182256946788,89.8762881914412,100.0,100.0,81.91892067287753,80.51882755578363,77.30156351018525,93.25110248182617,94.76714697876393,76.340669011496,94.42420254310284,100.0,96.50478963326978,94.47219860589192,77.49203415172418
78,79.94529355728578,74.05434509660624,100.0,78.93372090564372,99.60382301669105,75.2179382306854,81.37516512005753,93.90788925174988,93.62194944518731,87.75754713913922,84.16128693244914,96.52216656358463,100.0,84.42276984094727,78.07139133801277,89.17073237347161,100.0,100.0,81.39958097726985,73.7470115020557,73.48243251572518,94.17688516864759,89.7825981448214,68.0649264869586,95.78063012655414,97.9265558891095,100.0,89.39680424291215,76.27095562358897
79,76.66681238246622,71.95073396109578,100.0,74.89013233495312,93.84563120600632,73.05365809012855,82.31088859542498,92.1793695827551,88.93546902072785,84.28158009117442,81.43211849833372,93.50866306820103,96.29561267555192,84.52655283856714,75.33003177021006,85.68604080366794,100.0,100.0,80.74808430113073,71.43290787041306,69.9565484963006,97.99412409704618,84.91595794302317,63.172490821448974,94.97479603278387,88.93989861665898,100.0,81.94977717899465,81.21462530093855
80,72.75390157300977,69.68373987813168,100.0,72.79228416076845,86.19573713433363,69.57302424048467,78.18810261572213,89.47307639992513,84.11496405104987,84.96454491509901,76.51488357406186,89.14534085292043,90.3096191343015,80.72152687907705,73.43826813757963,80.18730806734573,91.36651499999876,100.0,77.72563487864291,72.54102030148965,69.9444573519767,100.0,81.08961905519787,63.327650005422555,91.66969837486079,81.793592104574,92.71178881963542,77.96127507586982,82.23390386772334
81,68.24752829319358,67.71085246101211,97.76704015132634,71.73366422545368,78.8231483519708,65.86374391377821,71.3657545965694,84.67283001943883,79.75076825749798,86.37734628441248,72.19462178557421,85.36131019461152,86.64986713833429,75.55981548003967,70.58562566841073,75.7912901944165,86.39366797591148,100.0,77.17484988590864,71.67805892915842,71.44583425059024,100.0,76.32553920980996,62.92515836844943,87.35612000695089,84.25013763295593,83.9902530267216,74.92415520179671,75.7350530874144
82,63.460144535621744,65.40214896045826,93.55519142816073,69.86859136412852,73.99465880342646,65.68848523759598,66.64878256707063,79.36434146863601,74.57307321010566,82.86075511745167,68.93129167856056,82.81578304521862,83.05427948984813,71.2750049179091,65.55966512789614,71.52632185132613,85.1874556603911,100.0,77.10280584818267,68.24014439593742,68.82405504996845,100.0,69.0710185863199,60.54742001596725,80.92580639104088,90.29728150966059,84.46814527860016,67.03913632163164,67.61904431467255
83,58.86484333951953,62.56701760957101,87.68228671405065,65.6166219199477,71.23719506278914,65.5234828517145,64.68695247937806,75.42549383416656,68.374157784993,74.58657246710852,64.41198813187779,80.1337212221058,77.52161368999589,65.9636194063605,57.81299311572083,65.6447825898222,88.31731814384389,89.50796032020799,70.35164243532171,66.37474092723804,64.7066223540438,99.81498749873802,64.41885159279494,59.02737483235322,70.06976882096154,90.39841465147879,89.76347958982193,60.96981378064526,64.00966669917679
